Term in CSV,Other Term in CSV,Similarity Score
polder,polders,92
Suikerindustrie,Likeurindustrie,87
Bedstede,Bedstee,93
theater,theaters,93
Tras,Trias,89
Architectuurschilderkunst,Architectuurschildering,88
Ruilverkaveling,Ruilverkavelingen,94
fabrieksschoorsteen,fabrieksschoorstenen,97
Romeinen,Roeien,86
sacramentshuizen,sacramentshuisje,88
sacramentshuizen,sacramentshuis,87
Bouwkeramiek,Bouwceramiek,92
Standbeeld,Stadsbeeld,90
Standbeeld,Standbeelden,91
Standbeeld,standbeeld,90
verenigingsgebouw,verenigingsgebouwen,94
verenigingsgebouw,vakverenigingsgebouwen,87
Reformatie,Deformatie,90
oven,ovens,89
Tegelfabriek,Meelfabriek,87
aquaduct,aquaducten,89
kosterswoning,dokterswoning,85
kosterswoning,koetsierswoning,86
kosterswoning,kosterswoningen,93
beltmolen,beltmolens,95
binnenhuisarchitectuur,binnenhuisarchitecten,88
vuurtoren,muurtoren,89
vuurtoren,vuurtorens,95
gebint,gebinten,86
kalkbranderij,kalkbranderijen,93
stoomgemaal,stoomgemalen,87
stoommachine,stoommachines,96
Norbertinessen,Norbertijnen,85
Toponymie,Toponymies,95
Facade,Facades,92
Meubilair,meubilair,89
politiebureau,politiebureaus,96
Dakpanstempel,Dakpanstempels,96
voetgangersbrug,voetgangersbruggen,91
postkantoren,postkantoor,87
Pelgrimsteken,Pelgrimstekens,96
Pelgrimsteken,pelgrimsteken,92
Staalindustrie,Metaalindustrie,90
landschapsecologie,landschapsarcheologie,87
wegwijzer,wegwijzers,95
Stadsbrand,Stadsrand,95
Bestrijdingsmiddel,Bestrijdingsmiddelen,95
sportgebouw,sportgebouwen,92
kapberg,kapbergen,88
theeschenkerij,theeschenkerijen,93
tabakswinkel,tabakswinkels,96
Merkteken,Merktekens,95
Vicarie,Vicaris,86
Houtverduurzaming,Houtverduurzamingmiddel,85
Huisnummering,Huisnummer,87
distilleerderij,distilleerderijen,94
erfbeplanting,Herbeplanting,92
erfbeplanting,wegbeplanting,85
slangenmuur,Slangemuur,86
dorpscentrum,dorpscentra,87
kasteelpoort,kasteelpoorten,92
Voorde,Voordeur,86
Historisme,Historie,89
rolbasculebrug,basculebrug,88
rolbasculebrug,rolbasculebruggen,90
geschutstoren,geschuttorens,92
geschutstoren,geschutspoorten,86
convent,conventen,88
kapittelhuis,kapittelhuizen,85
Landschapshuis,Landschapstuin,86
heemparken,Themaparken,86
Architectuurtekening,Architectuurtekeningen,95
Verfindustrie,Leerindustrie,85
Verfindustrie,Turfindustrie,85
Glasindustrie,Gasindustrie,96
Glasindustrie,Vlasindustrie,92
bakspieker,bakspiekers,95
stadion,stadions,93
douanekantoor,douanekantoren,89
telefooncentrale,telefooncentrales,97
huis van bewaring,huizen van bewaring,89
rijtuigenloods,rijtuigenloodsen,93
Beschermd dorpsgezicht,Beschermd gezicht,87
Beschermd dorpsgezicht,Beschermd stadsgezicht,86
Beschermd dorpsgezicht,beschermde dorpsgezichten,89
Instrument,Instrumenten,91
Houtindustrie,Zoutindustrie,92
Houtindustrie,Houtzaagindustrie,87
Houtindustrie,Touwindustrie,85
Houtindustrie,Bouwindustrie,85
Houtindustrie,Botindustrie,88
Mijngebouw,Mijnbouw,89
Stenen huis,Stenen kruis,87
Schuifraam,Schuiframen,86
Schuifraam,schuifraam,90
Stroomdallandschap,stroomdallandschappen,87
kweekschool,kweekscholen,87
muziektent,muziektenten,91
cementfabriek,cementfabrieken,93
Schelpzandmolen,schelpzandmolens,90
Tuinornament,tuinornamenten,85
Waterbouwkunde,Waterbouwkundige,93
Sigarenindustrie,Sigarettenindustrie,91
veldoven,velden,86
veldoven,veldovens,94
Geveltopteken,Gevelteken,87
Herbeplanting,erfbeplanting,92
Herbeplanting,wegbeplanting,85
Kerkelijke bouwkunst,Kerkelijke kunst,89
kruising,kruisiging,89
bestuursgebouw,bestuursgebouwen,93
pelmolen,pelmolens,94
pelmolen,peilmolens,89
Mosterdfabriek,boterfabriek,85
Mosterdfabriek,mosterdfabrieken,87
doksaal,oksaal,92
doksaal,dorsaal,86
Stom,Storm,89
Stom,Stoom,89
Touwslagerij,touwslagerijen,85
kamer van koophandel,kamers van koophandel,98
Brandewijnskom,brandewijnkom,89
Uithangborden,Uithangbord,92
Geschilderd behangsel,Geschilderd behang,92
Geschilderd behangsel,Beschilderd behangsel,95
Geschilderd behangsel,Beschilderd behang,87
Geschilderd behangsel,Beschilderd behangsels,93
Uitbreidingsplan,Uitbreidingsplannen,91
Metselaarsteken,Metselteken,85
Stadsplattegrond,Stadsplattegronden,94
conservenfabriek,conservenfabrieken,94
Galerij,Malerij,86
tiendenpaal,tiendenpalen,87
Stijlkamer,stijlkamers,86
huiszittenhuis,huiszittenhuizen,87
Stedebouw,Steenbouw,89
Stedebouw,Stedenbouw,95
Restauratiekosten,Restauratiebaksteen,89
Stuktuurplan,Structuurplan,88
orgelkas,orgels,86
openluchtschool,openluchtscholen,90
refter,refters,92
Schimmel,Schimmels,94
Veenlandschap,Terpenlandschap,86
Beleidsplan,Beleidsplannen,88
spieker,spiekers,93
Verbouwing,Verbouwingen,91
perronoverkapping,perronoverkappingen,94
Bronsgieter,Bronsgieterij,92
Bronsgieter,Bronsgieters,96
uitgeverij,uitgeverijen,91
Melkfabriek,Meelfabriek,91
Melkfabriek,lakfabriek,86
lyceum,lyceums,92
modelboerderij,modelboerderijen,93
leprozenhuis,leprozenhuizen,85
Orgelmakerij,Orgelmaker,91
Orgelmakerij,Orgelmakers,87
weeghuisje,weeghuisjes,95
Hotel restaurant,hotel-restaurants,85
dokterswoning,kosterswoning,85
dokterswoning,dokterswoningen,93
Romaanse beeldhouwkunst,Romaanse bouwkunst,88
rechtbank,rechtbanken,90
Pottenbakkersoven,Pottenbakkersovens,97
Pottenbakkersoven,Pottenbakkers,87
Ozendrop,Osendrop,88
Schilderkunst,Schilderkist,88
ambassade,ambassades,95
Kruiswegstatie,kruiswegstaties,90
Kruiswegstatie,kruiswegstatie,93
grafkapel,grafkapellen,86
Spinnewiel,Spinnewielen,91
kacheltegel,kacheltegels,96
theetuin,theetuinen,89
Leidekker,Leidekken,89
standerdmolen,standerden,87
standerdmolen,standerdmolens,96
tingieterij,tingieterijen,92
Tingieter,Tinnegieter,90
grafteken,graftekens,95
stoepbank,stoepbanken,90
dolhuis,tolhuis,86
Stijfselfabriek,stijfselfabrieken,88
waterwerken,watermerken,91
waterwerken,waterwegen,86
Mobiele architectuur,Moderne architectuur,85
winkelgalerij,winkelgalerijen,93
