Term in CSV|Other Term in CSV|Percentage Match
Interieurarchitect|Interieurarchitectuur|85.71428571428572
Teerhuis|veerhuis|87.5
Belening|Beleving|87.5
Kwaliteitsnorm|Kwaliteitszorg|85.71428571428572
confectiefabriek|confectiefabrieken|88.88888888888889
Neolithicum|neolithicum|90.9090909090909
Hoogaltaar|hoogaltaar|90.0
Gedenkboek|gedenkboek|90.0
Karmelietes|Karmelieten|90.9090909090909
Metaalindustrie|Staalindustrie|86.66666666666667
Bronstijd|bronstijd|88.88888888888889
Dakwerk|Vakwerk|85.71428571428572
Dakwerk|Lakwerk|85.71428571428572
Germaan|Germaans|87.5
Marktrecht|Markerecht|90.0
landschapselement|landschapselementen|89.47368421052632
Bouwplaat|Bouwplaats|90.0
Catacombe|Catacomben|90.0
Landpacht|Landmacht|88.88888888888889
Vurenhout|vurenhout|88.88888888888889
Veldkruis|veldkruis|88.88888888888889
Electriciteit|Elektriciteit|92.3076923076923
Stedebouwkunst|Stedebouwkunde|85.71428571428572
bedevaartskerk|bedevaartskerken|87.5
Lodewijk-XIII-stijl|Lodewijk-XVI-stijl|89.47368421052632
Lodewijk-XIII-stijl|Lodewijk-XIV-stijl|89.47368421052632
Lodewijk-XIV-stijl|Lodewijk-XVI-stijl|88.88888888888889
Lodewijk-XIV-stijl|Lodewijk-XIII-stijl|89.47368421052632
Lodewijk-XIV-stijl|Lodewijk-XV-stijl|94.44444444444444
Lodewijk-XIV-stijl|Lodewijk XIV-stijl|94.44444444444444
Lodewijk-XV-stijl|Lodewijk-XVI-stijl|94.44444444444444
Lodewijk-XV-stijl|Lodewijk-XIV-stijl|94.44444444444444
Lodewijk-XV-stijl|Lodewijk XIV-stijl|88.88888888888889
Lodewijk-XV-stijl|Lodewijk XV-stijI|88.23529411764706
Lodewijk-XV-stijl|Lodewijk XVI-stijl|88.88888888888889
Houtbewerking|Houtverwerking|85.71428571428572
Hefwerktuig|Heiwerktuig|90.9090909090909
Laswerk|Lakwerk|85.71428571428572
Laswerk|Latwerk|85.71428571428572
bungalow|bungalows|88.88888888888889
Lambrisering|Lambrizering|91.66666666666666
Voetval|Voetbal|85.71428571428572
theatrum anatomicum|theatrum anatomica|89.47368421052632
Molenromp|molenromp|88.88888888888889
atheneum|atheneums|88.88888888888889
Huiswerk|Huismerk|87.5
gloeilampenfabriek|gloeilampenfabrieken|90.0
Glasschildering|Grafschildering|86.66666666666667
windmotor|windmotors|90.0
chocoladefabriek|chocoladefabrieken|88.88888888888889
Wachthuis|jachthuis|88.88888888888889
eengezinswoning|eengezinswoningen|88.23529411764706
Computer|Computers|88.88888888888889
Touwindustrie|Bouwindustrie|92.3076923076923
Monumentenrecht|Monumentenwacht|86.66666666666667
Verstening|Kerstening|90.0
Familie|Families|87.5
bewoning|bewening|87.5
Modernisme|modernisme|90.0
Weeskamer|Weefkamer|88.88888888888889
doorzonwoning|doorzonwoningen|86.66666666666667
Fortificatie|Fortificaties|92.3076923076923
Archeologische waarde|Archeologische waarden|95.45454545454545
Badkamer|Badkamers|88.88888888888889
Luchthuis|tuchthuis|88.88888888888889
Decoratieschilder|Decoratieschildering|85.0
Kerkschat|Kerkschot|88.88888888888889
Weefkamer|Weeskamer|88.88888888888889
Verzuiling|Vervuiling|90.0
bovenkruier|bovenkruiers|91.66666666666666
Markerecht|Marktrecht|90.0
Rivieroever|Rivieroevers|91.66666666666666
Catering|datering|87.5
Natuurmonument|Natuurmonumenten|87.5
Documentatiesysteem|Documentatiesystemen|90.0
Verering|Verwering|88.88888888888889
Verering|Vererving|88.88888888888889
Tuingebouw|Turngebouw|90.0
Landbouwwerktuig|Landbouwwerktuigen|88.88888888888889
Elektriciteit|Electriciteit|92.3076923076923
Hout-imitatie|Houtimitatie|92.3076923076923
Decoratieschildering|Decoratieschilder|85.0
krijtmolen|krijtmolens|90.9090909090909
Raamwerk|Raapwerk|87.5
Gasbeton|gasbeton|87.5
Antropologie|Anthropologie|92.3076923076923
Vererving|Verering|88.88888888888889
paalfundering|paalfunderingen|86.66666666666667
toiletgebouw|toiletgebouwen|85.71428571428572
Grieken|rieken|85.71428571428572
Buurtschap|Buurschap|90.0
Dijkval|Dijkvak|85.71428571428572
Politiek|Politie|87.5
Beweiding|Bereiding|88.88888888888889
Verdedigingstoren|Verdedigingstorens|94.44444444444444
Handelsnederzetting|Handelsnederzettingen|90.47619047619048
Stedebouwkunde|Stedebouwkundige|87.5
Stedebouwkunde|Stedebouwkunst|85.71428571428572
betonfabriek|betonfabrieken|85.71428571428572
schoenenfabriek|schoenenfabrieken|88.23529411764706
Vlasbouw|Glasbouw|87.5
Huishouden|Huishoudens|90.9090909090909
Nationale identiteit|Regionale identiteit|85.0
Burgemeester|Burgemeesters|92.3076923076923
Pelgrimage|Pilgrimage|90.0
Marketing|Markering|88.88888888888889
sigarenwinkel|sigarenwinkels|92.85714285714286
Landmacht|Landpacht|88.88888888888889
Vroege Middeleeuwen|Voege middeleeuwen|89.47368421052632
Vroege Middeleeuwen|vroege middeleeuwen|89.47368421052632
panopticum|panopticums|90.9090909090909
Heiligdom|heiligdom|88.88888888888889
Grafische industrie|Keramische industrie|85.0
Achterglasschilderij|achterglasschildering|85.71428571428572
Achterglasschilderij|Achterglasschilderijen|90.9090909090909
traptoren|tractoren|88.88888888888889
traptoren|traptorens|90.0
busstation|busstations|90.9090909090909
Landschapbeheer|landschapsbeheer|87.5
Openluchttheater|openluchttheaters|88.23529411764706
remise|remises|85.71428571428572
poterne|poternes|87.5
Tuinkamer|Tuigkamer|88.88888888888889
cultuurhistorisch onderzoek|Kleurhistorisch onderzoek|85.18518518518519
marechausseekazerne|marechausseekazernes|95.0
Kunstvoorwerp|Kunstvoorwerpen|86.66666666666667
Plastiek|elastiek|87.5
kraamkliniek|kraamklinieken|85.71428571428572
kantine|kantines|87.5
verkeersbord|verkeersborden|85.71428571428572
kunstacademie|kunstacademies|92.85714285714286
17e eeuw|16e eeuw|87.5
17e eeuw|19e eeuw|87.5
17e eeuw|18e eeuw|87.5
17e eeuw|14e eeuw|87.5
17e eeuw|15e eeuw|87.5
17e eeuw|12e eeuw|87.5
17e eeuw|7e eeuw|87.5
17e eeuw|11e eeuw|87.5
17e eeuw|10e eeuw|87.5
17e eeuw|13e eeuw|87.5
Art Deco|Art Déco|87.5
Fysische geografie|Fysiche geografie|94.44444444444444
Turfstrooiselfabriek|turfstrooiselfabrieken|86.36363636363636
Ontstaansgeschiedenis|onstaansgeschiedenis|90.47619047619048
schepradmolen|schepradmolens|92.85714285714286
trapgevel|trapgevels|90.0
hangar|hangars|85.71428571428572
doodgraverswoning|doodgraverswoningen|89.47368421052632
Gasindustrie|Glasindustrie|92.3076923076923
Roterij|Loterij|85.71428571428572
Roterij|Rokerij|85.71428571428572
Vlasindustrie|Glasindustrie|92.3076923076923
Zandzolder|Zaadzolder|90.0
Siroopfabriek|Stroopfabriek|92.3076923076923
lichtwachterswoning|lichtwachterswoningen|90.47619047619048
Zadeldak|zadeldak|87.5
kruittoren|kruittorens|90.9090909090909
Waterbouwkundige|Waterbouwkunde|87.5
Archeologisch onderzoek|Archeologisch vooronderzoek|85.18518518518519
Wetland|Wetlands|87.5
Stadhouder|Stadhouders|90.9090909090909
Voetbal|Voetval|85.71428571428572
Amfitheater|Amfitheaters|91.66666666666666
Balkschilderingen|Barokschilderingen|88.88888888888889
