Term in CSV,Other Term in CSV,Similarity Score
onderwijsgebouwen,verenigingsgebouwen,0.806672377086343
Vernieling. Beschadiging. Reparatie van gebouwen,Versteviging van bouwwerken. Wijziging. Versterking,0.8642625613901462
Vernieling. Beschadiging. Reparatie van gebouwen,Aarde. Kleiwaren. Aardewerk. Keramische bouwmaterialen,0.8035860078982136
Versteviging van bouwwerken. Wijziging. Versterking,Vernieling. Beschadiging. Reparatie van gebouwen,0.8642625613901462
Aarde. Kleiwaren. Aardewerk. Keramische bouwmaterialen,Vernieling. Beschadiging. Reparatie van gebouwen,0.8035860078982136
Houtbouw. Timmermanswerk. Schrijnwerk,Museumgebouwen. Museuminrichting,0.8079410436515402
Beschermende maatregelen aan gebouwen,Openbare gebouwen,0.8123544214455467
museumgebouwen,bankgebouwen,0.827438927815609
museumgebouwen,bankgebouwen,0.827438927815609
bankgebouwen,museumgebouwen,0.827438927815609
Revolutiebouw,Dijkbouw,0.8073298584515187
gebouwde omgeving,Gebouwde omgeving,0.8014355239615668
waterbouwkundige elementen,waterbouwkundige werken,0.8256656893773787
agrarische gebouwen,religieuze gebouwen,0.8037424441788563
agrarische gebouwen,Kerkelijke gebouwen,0.8305145716408365
agrarische gebouwen,militaire gebouwen,0.8217002660827974
agrarische gebouwen,militaire gebouwen,0.8217002660827974
agrarische gebouwen,religieuze gebouwen,0.8037424441788563
kwekerijgebouwen,compagniegebouwen,0.8235711486236525
kwekerijgebouwen,speelgebouwen,0.8277718788690048
horecagebouwen,scheepvaartgebouwen,0.828515477296227
bankgebouwen,museumgebouwen,0.827438927815609
compagniegebouwen,kwekerijgebouwen,0.8235711486236525
compagniegebouwen,speelgebouwen,0.8314232412497291
kantoorgebouwen,transformatorgebouwen,0.8109295608000568
kantoorgebouwen,wetenschapsgebouwen,0.8312477534470061
militaire gebouwen,agrarische gebouwen,0.8217002660827974
werfgebouwen,landbouwvoertuigen,0.8064371898990398
transformatorgebouwen,kantoorgebouwen,0.8109295608000568
transformatorgebouwen,kantoorgebouwen,0.8109295608000568
onderwijsgebouwen,verenigingsgebouwen,0.806672377086343
circusgebouwen,transportgebouwen,0.8046399061142895
speelgebouwen,kwekerijgebouwen,0.8277718788690048
speelgebouwen,compagniegebouwen,0.8314232412497291
speelgebouwen,sportverenigingsgebouwen,0.8054254668626164
religieuze gebouwen,agrarische gebouwen,0.8037424441788563
religieuze gebouwen,religieuze gebouwen onderdelen,0.8502411619015275
sportgebouwen,sportverenigingsgebouwen,0.8300985988029613
sportverenigingsgebouwen,speelgebouwen,0.8054254668626164
sportverenigingsgebouwen,sportgebouwen,0.8300985988029613
sportverenigingsgebouwen,havengebouwen,0.8027061957531447
transportgebouwen,circusgebouwen,0.8046399061142895
transportgebouwen,pompgebouwen,0.8068245256855322
scheepvaartgebouwen,horecagebouwen,0.828515477296227
scheepvaartgebouwen,havengebouwen,0.8055686093339224
verenigingsgebouwen,onderwijsgebouwen,0.806672377086343
verenigingsgebouwen,onderwijsgebouwen,0.806672377086343
waterbouwkundige werken,waterbouwkundige elementen,0.8256656893773787
waterbouwkundige werken,wegenbouwkundige werken,0.8864187660848728
waterbouwkundige werken,waterbouwkundige werken onderdelen,0.8269182311234725
wegenbouwkundige werken,waterbouwkundige werken,0.8864187660848728
wegenbouwkundige werken,wegenbouwkundige werken onderdelen,0.8461752494545022
wetenschapsgebouwen,waaggebouwen,0.8311099102858184
wetenschapsgebouwen,kantoorgebouwen,0.8312477534470061
wetenschapsgebouwen,kantoorgebouwen,0.8312477534470061
pompgebouwen,transportgebouwen,0.8068245256855322
pompgebouwen,poortgebouwen,0.804614065289964
religieuze gebouwen onderdelen,religieuze gebouwen,0.8502411619015275
religieuze gebouwen onderdelen,religieuze gebouwen,0.8502411619015275
religieuze gebouwen onderdelen,waterbouwkundige werken onderdelen,0.8187503100517592
waterbouwkundige werken onderdelen,waterbouwkundige werken,0.8269182311234725
waterbouwkundige werken onderdelen,religieuze gebouwen onderdelen,0.8187503100517592
waterbouwkundige werken onderdelen,wegenbouwkundige werken onderdelen,0.9404075561299445
wegenbouwkundige werken onderdelen,wegenbouwkundige werken,0.8461752494545022
wegenbouwkundige werken onderdelen,waterbouwkundige werken onderdelen,0.9404075561299445
bosbouw gereedschap & uitrusting,mijnbouw en mineralenwining gereedschap & uitrusting,0.8999260548240858
mijnbouw en mineralenwining gereedschap & uitrusting,bosbouw gereedschap & uitrusting,0.8999260548240858
landbouwvoertuigen,werfgebouwen,0.8064371898990398
poortgebouwen,pompgebouwen,0.804614065289964
havengebouwen,sportverenigingsgebouwen,0.8027061957531447
havengebouwen,scheepvaartgebouwen,0.8055686093339224
experimentele woningbouw,Naoorlogse woningbouw,0.818145041793032
